symbol,entry_date,exit_date,entry_price,exit_price,position_size,raw_return,confidence,velocity_score,position_value,entry_cost,exit_cost,total_costs,cost_pct,net_return,raw_pnl,net_pnl,cost_impact
SNOW,2023-01-01,2023-01-02,22.417272972985906,23.877170137962143,5000.0,0.06512376267780179,0.9175420211814656,0.28110418726284925,5000.0,17.5,17.5,35.0,0.007,0.05812376267780179,325.61881338900895,290.61881338900895,35.0
CRWD,2023-01-04,2023-01-05,96.49803215052619,97.46301247203145,5000.0,0.01,0.7918143241475427,0.06631675812410531,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
SNOW,2023-01-07,2023-01-09,74.40551652109009,73.6614613558792,5000.0,-0.01,0.9464336686658871,0.026617426033622826,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
SNOW,2023-01-10,2023-01-11,13.074070506981343,12.94332980191153,5000.0,-0.01,0.9492507399515848,0.74467096206207,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
CRWD,2023-01-13,2023-01-14,57.796483827452704,58.37444866572723,5000.0,0.01,0.8057742705184363,0.320572527956434,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
PLTR,2023-01-16,2023-01-20,73.45468615331932,76.69006802263544,5000.0,0.04404595593211067,0.9212648583756184,-0.1527869966044959,5000.0,17.5,17.5,35.0,0.007,0.03704595593211067,220.22977966055336,185.22977966055336,35.0
ESTC,2023-01-19,2023-01-20,29.599258352645275,30.21271843691341,5000.0,0.02072552213840559,0.9070681302227886,0.27038120754276584,5000.0,17.5,17.5,35.0,0.007,0.01372552213840559,103.62761069202794,68.62761069202794,35.0
PLTR,2023-01-22,2023-01-24,56.967610914830104,55.152572818018136,5000.0,-0.03186087792106212,0.8244565533123486,0.7042135079324454,5000.0,17.5,17.5,35.0,0.007,-0.03886087792106212,-159.3043896053106,-194.30438960531058,34.99999999999997
ESTC,2023-01-25,2023-01-26,105.97323533434269,108.83073753506602,5000.0,0.026964376351330525,0.9488914925221641,-0.5185195957162474,5000.0,17.5,17.5,35.0,0.007,0.019964376351330526,134.82188175665263,99.82188175665263,35.0
CRWD,2023-01-28,2023-02-01,64.21498762735362,63.06453757910126,5000.0,-0.01791560024785085,0.8487787430366869,-0.5138836652458739,5000.0,17.5,17.5,35.0,0.007,-0.02491560024785085,-89.57800123925426,-124.57800123925425,34.999999999999986
CRWD,2023-01-31,2023-02-04,78.90128387732966,79.69029671610296,5000.0,0.01,0.8116121583704778,0.06806436888783884,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
PLTR,2023-02-03,2023-02-06,62.38342780809495,63.0072620861759,5000.0,0.01,0.877266523637179,-0.3992610902310654,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
OKTA,2023-02-06,2023-02-08,47.686948717576875,47.21007923040111,5000.0,-0.01,0.9312197575437108,-0.10496901518331414,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
OKTA,2023-02-09,2023-02-10,60.234559244499316,60.836904836944306,5000.0,0.01,0.8790206724061129,0.2702784954609594,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
PLTR,2023-02-12,2023-02-13,68.77002043295019,68.08232022862069,5000.0,-0.01,0.8644008398418366,0.4296864228900945,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
CRWD,2023-02-15,2023-02-19,24.285273307511524,24.59379316346415,5000.0,0.012703989452620223,0.9489101021594681,-0.04808877761449126,5000.0,17.5,17.5,35.0,0.007,0.005703989452620223,63.519947263101116,28.519947263101116,35.0
CRWD,2023-02-18,2023-02-20,43.29611644022447,44.00149761336332,5000.0,0.01629201949585271,0.9406143694047906,-0.27079951252717815,5000.0,17.5,17.5,35.0,0.007,0.009292019495852712,81.46009747926355,46.46009747926356,34.99999999999999
NET,2023-02-21,2023-02-23,71.42001482276277,72.1342149709904,5000.0,0.01,0.8644584938341676,0.7685305339456732,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
ZS,2023-02-24,2023-02-28,24.59618845794785,24.35022657336837,5000.0,-0.01,0.8036949713780314,-0.023552201157894914,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
CRWD,2023-02-27,2023-03-01,4.554583259424064,4.615321677229516,5000.0,0.013335669664129073,0.8289382933618944,0.5507410251620983,5000.0,17.5,17.5,35.0,0.007,0.006335669664129072,66.67834832064537,31.678348320645362,35.00000000000001
ESTC,2023-03-02,2023-03-05,23.48427691396601,25.217811191745746,5000.0,0.07381680449989968,0.8842287033648101,-0.2261651499261378,5000.0,17.5,17.5,35.0,0.007,0.06681680449989967,369.08402249949836,334.08402249949836,35.0
PLTR,2023-03-05,2023-03-08,54.61175317836584,55.157870710149496,5000.0,0.01,0.8090581176837878,-0.2839187772182392,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
ESTC,2023-03-08,2023-03-12,82.49153729525831,83.3164526682109,5000.0,0.01,0.8605639953815816,-0.32558377016352247,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
PLTR,2023-03-11,2023-03-13,81.6140615610471,79.6831495410614,5000.0,-0.023659060498311076,0.8012413887188916,0.17842193738508882,5000.0,17.5,17.5,35.0,0.007,-0.030659060498311075,-118.29530249155538,-153.29530249155536,34.999999999999986
NET,2023-03-14,2023-03-18,65.45143058918144,66.10594489507325,5000.0,0.01,0.7888547907024084,-0.6864945328001157,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
ESTC,2023-03-17,2023-03-19,165.58194471964163,163.2217401102864,5000.0,-0.014253997399000662,0.7601537062078794,0.6185874383210559,5000.0,17.5,17.5,35.0,0.007,-0.021253997399000663,-71.26998699500331,-106.26998699500331,35.0
ZS,2023-03-20,2023-03-23,26.815243563872848,26.458563432740068,5000.0,-0.013301394420795816,0.8844052270590399,-0.2749557320404289,5000.0,17.5,17.5,35.0,0.007,-0.020301394420795815,-66.50697210397908,-101.50697210397908,35.0
ZS,2023-03-23,2023-03-25,42.895441797799734,43.32439621577773,5000.0,0.01,0.9463681776621062,0.5422936033109813,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
DDOG,2023-03-26,2023-03-28,35.842044026317,36.57622504230507,5000.0,0.02048379315222646,0.8153302483592082,0.5245904060601418,5000.0,17.5,17.5,35.0,0.007,0.013483793152226461,102.4189657611323,67.41896576113231,34.999999999999986
DDOG,2023-03-29,2023-04-02,82.66851790902098,81.77575487039739,5000.0,-0.010799311046148098,0.943050366078154,-0.06837574141803437,5000.0,17.5,17.5,35.0,0.007,-0.017799311046148097,-53.99655523074049,-88.99655523074048,34.99999999999999
ZS,2023-04-01,2023-04-03,51.367155197114414,50.85348364514327,5000.0,-0.01,0.8899024421534387,-0.5786350521315179,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
NET,2023-04-04,2023-04-08,30.451989571825486,30.14746967610723,5000.0,-0.01,0.9439073734228318,0.34335216668792334,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
DDOG,2023-04-07,2023-04-10,30.14640605694836,29.84494199637888,5000.0,-0.01,0.8988085285998231,-0.3986231562453421,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
NET,2023-04-10,2023-04-12,75.57300004388672,78.11835904110477,5000.0,0.03368079864157697,0.7661745933234395,-0.11469684009582759,5000.0,17.5,17.5,35.0,0.007,0.02668079864157697,168.40399320788484,133.40399320788487,34.99999999999997
CRWD,2023-04-13,2023-04-17,13.991107788326715,13.735948532987964,5000.0,-0.01823724462702235,0.8384704459462209,-0.41634022534815485,5000.0,17.5,17.5,35.0,0.007,-0.02523724462702235,-91.18622313511175,-126.18622313511175,35.0
ESTC,2023-04-16,2023-04-18,39.96496292477155,40.45993945192303,5000.0,0.012385261762489372,0.7865731994214614,0.6953823957435357,5000.0,17.5,17.5,35.0,0.007,0.005385261762489372,61.92630881244686,26.92630881244686,35.0
ZS,2023-04-19,2023-04-20,113.664685910379,112.52803905127521,5000.0,-0.01,0.7595432255383298,0.10565953679052209,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
NET,2023-04-22,2023-04-25,80.97395781653441,80.16421823836906,5000.0,-0.01,0.7740329295611285,-0.2529925332537575,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
DDOG,2023-04-25,2023-04-29,63.314582844386855,60.95790285649027,5000.0,-0.03722175653733332,0.75343222036635,0.42138307680625764,5000.0,17.5,17.5,35.0,0.007,-0.04422175653733332,-186.1087826866666,-221.1087826866666,35.0
ZS,2023-04-28,2023-04-29,73.2390216028801,74.98130483343216,5000.0,0.023789001988573068,0.8192608642178801,-0.05652189929662177,5000.0,17.5,17.5,35.0,0.007,0.01678900198857307,118.94500994286534,83.94500994286534,35.0
NET,2023-05-01,2023-05-02,98.97233911794905,96.84257378885927,5000.0,-0.021518793514131922,0.9273360774596094,-0.3825702026532577,5000.0,17.5,17.5,35.0,0.007,-0.02851879351413192,-107.59396757065961,-142.5939675706596,34.999999999999986
SNOW,2023-05-04,2023-05-06,7.095758661181023,6.9429292739270325,5000.0,-0.021538132080235296,0.9366872616158965,0.0016638142644147536,5000.0,17.5,17.5,35.0,0.007,-0.028538132080235295,-107.69066040117647,-142.69066040117647,35.0
ESTC,2023-05-07,2023-05-11,20.554740468561473,20.34919306387586,5000.0,-0.01,0.9387783209121514,0.7108025554002679,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
ESTC,2023-05-10,2023-05-14,63.86310422789812,64.8898331823584,5000.0,0.016077028620412107,0.8772807194892023,0.4815188714918397,5000.0,17.5,17.5,35.0,0.007,0.009077028620412108,80.38514310206054,45.38514310206054,35.0
CRWD,2023-05-13,2023-05-17,97.58050448436056,98.55630952920417,5000.0,0.01,0.9122408353472006,0.5130231611903286,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
PLTR,2023-05-16,2023-05-20,12.865535035194526,12.736879684842581,5000.0,-0.01,0.9140853687542536,0.24237563497246084,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
CRWD,2023-05-19,2023-05-22,58.42975603205098,57.845458471730474,5000.0,-0.01,0.8811445270761484,-0.18336540645509591,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
SNOW,2023-05-22,2023-05-24,31.319014405382188,33.38361580378732,5000.0,0.06592165933709371,0.818124913892848,-0.382888754822555,5000.0,17.5,17.5,35.0,0.007,0.05892165933709371,329.60829668546853,294.60829668546853,35.0
NET,2023-05-25,2023-05-28,60.71046457895142,62.24311493168641,5000.0,0.02524524171186069,0.9373296303711414,-0.737301877318966,5000.0,17.5,17.5,35.0,0.007,0.01824524171186069,126.22620855930344,91.22620855930346,34.999999999999986
NET,2023-05-28,2023-05-29,29.212712142180372,31.454142452479285,5000.0,0.07672790870596703,0.9435161103040495,0.07675501319693967,5000.0,17.5,17.5,35.0,0.007,0.06972790870596703,383.6395435298352,348.6395435298351,35.00000000000006
CRWD,2023-05-31,2023-06-01,72.41880815369785,76.86760907551857,5000.0,0.06143156778248565,0.8963295510599281,-0.595696432924055,5000.0,17.5,17.5,35.0,0.007,0.05443156778248565,307.15783891242825,272.15783891242825,35.0
ZS,2023-06-03,2023-06-04,68.31110796300395,69.49478925988558,5000.0,0.017327801175801367,0.866108802468782,0.5873865715355553,5000.0,17.5,17.5,35.0,0.007,0.010327801175801368,86.63900587900683,51.63900587900684,34.99999999999999
NET,2023-06-06,2023-06-10,43.46956390318339,43.034868264151555,5000.0,-0.01,0.8979817520894748,-0.41882215615363294,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
CRWD,2023-06-09,2023-06-11,82.9633055596157,83.79293861521187,5000.0,0.01,0.8568654947061126,-0.00550209490707565,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
CRWD,2023-06-12,2023-06-13,70.45858913884892,69.75400324746043,5000.0,-0.01,0.7606970593494737,0.7336663950131175,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
DDOG,2023-06-15,2023-06-18,40.69199730219632,40.28507732917436,5000.0,-0.01,0.8209810380925441,0.7308814162023303,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
ZS,2023-06-18,2023-06-21,52.90987894978154,52.12589292210986,5000.0,-0.014817384640319892,0.7666568822390519,-0.6532733643864304,5000.0,17.5,17.5,35.0,0.007,-0.021817384640319893,-74.08692320159946,-109.08692320159946,35.0
CRWD,2023-06-21,2023-06-25,67.8547107631074,71.20144954338791,5000.0,0.0493221287459989,0.8607406104691602,-0.4596353679612337,5000.0,17.5,17.5,35.0,0.007,0.0423221287459989,246.6106437299945,211.6106437299945,35.0
NET,2023-06-24,2023-06-25,68.72359451156466,67.28838923086553,5000.0,-0.020883734194922215,0.9361858211374585,0.7587971336550563,5000.0,17.5,17.5,35.0,0.007,-0.027883734194922214,-104.41867097461108,-139.41867097461108,35.0
ZS,2023-06-27,2023-06-29,68.8503652779284,69.5388689307077,5000.0,0.01,0.76117423093547,0.3792568908656142,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
DDOG,2023-06-30,2023-07-01,25.235084096224654,24.754035801977693,5000.0,-0.019062678468304783,0.8876060020350078,0.5391421987797982,5000.0,17.5,17.5,35.0,0.007,-0.026062678468304783,-95.31339234152392,-130.31339234152392,35.0
NET,2023-07-03,2023-07-04,40.358424750410194,39.954840502906094,5000.0,-0.01,0.9176961527527969,-0.11825363992489424,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
NET,2023-07-06,2023-07-10,35.86885083145032,38.61254805024472,5000.0,0.07649247620692336,0.7966456144849056,0.13008866756285165,5000.0,17.5,17.5,35.0,0.007,0.06949247620692335,382.4623810346168,347.4623810346168,35.0
CRWD,2023-07-09,2023-07-10,56.96149812072909,57.531113101936384,5000.0,0.01,0.9260719937276833,-0.421303690108674,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
NET,2023-07-12,2023-07-15,28.44667336242692,28.731140096051192,5000.0,0.01,0.8255975180244509,0.3281349828746558,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
SNOW,2023-07-15,2023-07-17,43.59658544864458,40.83785732252965,5000.0,-0.06327853655797487,0.8160505058038197,-0.1048770488187658,5000.0,17.5,17.5,35.0,0.007,-0.07027853655797488,-316.39268278987436,-351.3926827898744,35.00000000000006
SNOW,2023-07-18,2023-07-19,49.444605920228305,50.43982196241599,5000.0,0.020127899164437094,0.8981947721821336,0.4275117649737148,5000.0,17.5,17.5,35.0,0.007,0.013127899164437094,100.63949582218547,65.63949582218547,35.0
CRWD,2023-07-21,2023-07-24,41.34024083239585,40.550849494035845,5000.0,-0.019094986445783016,0.8988423313886595,0.2896630833550544,5000.0,17.5,17.5,35.0,0.007,-0.026094986445783015,-95.47493222891508,-130.47493222891507,34.999999999999986
CRWD,2023-07-24,2023-07-28,46.737195546294274,48.08494346740531,5000.0,0.02883673068864534,0.7665782643386708,0.04539219407553463,5000.0,17.5,17.5,35.0,0.007,0.02183673068864534,144.1836534432267,109.1836534432267,34.999999999999986
OKTA,2023-07-27,2023-07-28,62.051351662968244,61.43083814633856,5000.0,-0.01,0.9104218498053468,0.7646410700068333,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
NET,2023-07-30,2023-07-31,56.7227744543125,57.290002198855625,5000.0,0.01,0.8005980335978482,0.3126577969706361,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
SNOW,2023-08-02,2023-08-03,50.37777202345384,50.89550293417256,5000.0,0.010276971170493214,0.7832430863818506,-0.4531054294616141,5000.0,17.5,17.5,35.0,0.007,0.003276971170493214,51.384855852466075,16.38485585246607,35.0
OKTA,2023-08-05,2023-08-08,114.5954737253467,111.76811770760749,5000.0,-0.02467249295129744,0.826840366275844,0.3793611293488308,5000.0,17.5,17.5,35.0,0.007,-0.03167249295129744,-123.3624647564872,-158.3624647564872,35.000000000000014
DDOG,2023-08-08,2023-08-11,26.979573113358516,26.19628780044574,5000.0,-0.029032531746210052,0.9417404814815692,-0.7074177635876682,5000.0,17.5,17.5,35.0,0.007,-0.03603253174621005,-145.16265873105027,-180.16265873105027,35.0
ESTC,2023-08-11,2023-08-13,115.69408799653017,116.85102887649548,5000.0,0.01,0.7839359807791131,0.23495737866995814,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
SNOW,2023-08-14,2023-08-18,25.751051439345456,27.104765189508193,5000.0,0.05256926123390722,0.7958789491409899,-0.3744993200572177,5000.0,17.5,17.5,35.0,0.007,0.04556926123390722,262.8463061695361,227.8463061695361,35.0
CRWD,2023-08-17,2023-08-18,60.25267927331478,59.65015248058163,5000.0,-0.01,0.8322413441744372,0.16445101123727768,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
NET,2023-08-20,2023-08-24,106.28512517647658,105.22227392471181,5000.0,-0.01,0.77663702504475,-0.678079392641339,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
ESTC,2023-08-23,2023-08-25,10.393003789380735,10.496933827274542,5000.0,0.01,0.9253322971851585,0.08254059607051212,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
ZS,2023-08-26,2023-08-27,104.94376297563062,103.89432534587431,5000.0,-0.01,0.8322510233170738,0.44416365397636093,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
OKTA,2023-08-29,2023-08-31,1.3940358727263273,1.380095513999064,5000.0,-0.01,0.9158328441413028,0.11053035066519623,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
SNOW,2023-09-01,2023-09-02,90.61617122496239,91.52233293721201,5000.0,0.01,0.7573643735271983,-0.5858366099189869,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
NET,2023-09-04,2023-09-05,50.15731099154549,50.90815010223214,5000.0,0.014969684296137887,0.8952241688143696,0.4113299232679295,5000.0,17.5,17.5,35.0,0.007,0.007969684296137886,74.84842148068944,39.84842148068943,35.00000000000001
CRWD,2023-09-07,2023-09-10,51.40941781294226,50.822160660391944,5000.0,-0.011423143414833092,0.7982169664659263,-0.4719274743895602,5000.0,17.5,17.5,35.0,0.007,-0.01842314341483309,-57.11571707416546,-92.11571707416546,35.0
OKTA,2023-09-10,2023-09-11,53.60886895135697,54.4565558944489,5000.0,0.015812438495225498,0.9256441334958384,0.4111986114755659,5000.0,17.5,17.5,35.0,0.007,0.008812438495225498,79.06219247612749,44.06219247612749,35.0
DDOG,2023-09-13,2023-09-15,65.43316502176248,64.77883337154485,5000.0,-0.01,0.8037344964050614,-0.7645044127515175,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
PLTR,2023-09-16,2023-09-18,96.53455926567568,94.44936807718489,5000.0,-0.021600463133126066,0.8115554479542099,0.5062171763408998,5000.0,17.5,17.5,35.0,0.007,-0.028600463133126065,-108.00231566563033,-143.00231566563033,35.0
NET,2023-09-19,2023-09-23,53.47023902878576,54.00494141907362,5000.0,0.01,0.7676816446731293,0.4669085431514126,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
SNOW,2023-09-22,2023-09-23,69.36127848755443,72.07488639905932,5000.0,0.03912280699946738,0.9110089335038724,0.645041693882602,5000.0,17.5,17.5,35.0,0.007,0.03212280699946738,195.6140349973369,160.61403499733692,34.99999999999997
DDOG,2023-09-25,2023-09-29,91.05894672597046,94.35401136727715,5000.0,0.036186061444602,0.9460925450184755,0.17294055926701635,5000.0,17.5,17.5,35.0,0.007,0.029186061444602,180.93030722301,145.93030722301,35.0
ZS,2023-09-28,2023-09-30,14.502244620026744,14.787291363078523,5000.0,0.019655353396683756,0.8952794065300456,0.07591409103857849,5000.0,17.5,17.5,35.0,0.007,0.012655353396683756,98.27676698341878,63.27676698341878,35.0
ESTC,2023-10-01,2023-10-02,11.176965332803015,11.288734986131045,5000.0,0.01,0.9320942556806546,-0.32326487753287925,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
ESTC,2023-10-04,2023-10-06,1.1014731806546365,1.1124879124611828,5000.0,0.01,0.7591722532809266,0.19328909507534608,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
NET,2023-10-07,2023-10-09,48.33356903310143,48.81690472343245,5000.0,0.01,0.7918261582157028,0.1274398951547815,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
ESTC,2023-10-10,2023-10-13,60.99794738290545,60.26421787039325,5000.0,-0.012028757425333101,0.8893002932454157,-0.141342057027955,5000.0,17.5,17.5,35.0,0.007,-0.019028757425333102,-60.14378712666551,-95.14378712666552,35.00000000000001
PLTR,2023-10-13,2023-10-17,21.80360641017934,22.239535548755548,5000.0,0.019993441927693374,0.8530472109728422,0.7569765588321669,5000.0,17.5,17.5,35.0,0.007,0.012993441927693375,99.96720963846687,64.96720963846687,35.0
NET,2023-10-16,2023-10-17,34.09227144882678,33.751348734338514,5000.0,-0.01,0.756360936297033,0.07794449473185383,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
CRWD,2023-10-19,2023-10-20,26.213815032129673,27.07048706227448,5000.0,0.03268017375932528,0.8211982968543972,0.6307476206334812,5000.0,17.5,17.5,35.0,0.007,0.025680173759325284,163.4008687966264,128.4008687966264,35.0
CRWD,2023-10-22,2023-10-23,108.94175398749168,107.85233644761676,5000.0,-0.01,0.7684581172457492,-0.03016736950993093,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
ZS,2023-10-25,2023-10-27,51.05790655915186,49.74252495236721,5000.0,-0.025762544832517636,0.8523314027094522,-0.5488357076540901,5000.0,17.5,17.5,35.0,0.007,-0.032762544832517636,-128.81272416258818,-163.81272416258818,35.0
